epoch,phase,loss,accuracy,f1,recall,roc_auc
1,train,0.5718322006836991,0.7429064417177914,0.6333214083503337,0.7429064417177914,0.49775179812850306
1,val,0.8132619261741638,0.5,0.3333333333333333,0.5,0.5
2,train,0.5703553608590108,0.7429064417177914,0.6333214083503337,0.7429064417177914,0.5
2,val,0.8132619261741638,0.5,0.3333333333333333,0.5,0.5
3,train,0.5703553515343578,0.7429064417177914,0.6333214083503337,0.7429064417177914,0.5
3,val,0.8132619261741638,0.5,0.3333333333333333,0.5,0.5
4,train,0.5703553504373399,0.7429064417177914,0.6333214083503337,0.7429064417177914,0.5
4,val,0.8132619261741638,0.5,0.3333333333333333,0.5,0.5
5,train,0.5703553542769029,0.7429064417177914,0.6333214083503337,0.7429064417177914,0.5
5,val,0.813261866569519,0.5,0.3333333333333333,0.5,0.5
6,train,0.5703553504373399,0.7429064417177914,0.6333214083503337,0.7429064417177914,0.5
6,val,0.813261866569519,0.5,0.3333333333333333,0.5,0.5
7,train,0.5703553544597392,0.7429064417177914,0.6333214083503337,0.7429064417177914,0.5
7,val,0.8132619261741638,0.5,0.3333333333333333,0.5,0.5
8,train,0.5703553528142121,0.7429064417177914,0.6333214083503337,0.7429064417177914,0.5
8,val,0.8132619261741638,0.5,0.3333333333333333,0.5,0.5
9,train,0.5703553593963202,0.7429064417177914,0.6333214083503337,0.7429064417177914,0.5
9,val,0.813261866569519,0.5,0.3333333333333333,0.5,0.5
10,train,0.5703553548254119,0.7429064417177914,0.6333214083503337,0.7429064417177914,0.5
10,val,0.8132619261741638,0.5,0.3333333333333333,0.5,0.5
