epoch,phase,loss,accuracy,f1,recall,roc_auc
1,train,0.367988199452681,0.8834355828220859,0.8813610964752117,0.8834355828220859,0.9173431478675036
1,val,0.34883958101272583,0.8125,0.8056680161943319,0.8125,0.96875
2,train,0.1473243592615508,0.9459355828220859,0.9457749538816738,0.9459355828220859,0.981801929229511
2,val,1.1290132999420166,0.625,0.5636363636363637,0.625,0.90625
3,train,0.12769596440363332,0.9518788343558282,0.9517055251143985,0.9518788343558282,0.9862863053570998
3,val,0.8990738391876221,0.6875,0.6536796536796536,0.6875,0.890625
4,train,0.12538968548292945,0.9532208588957055,0.9530345979629116,0.9532208588957055,0.9865446585359986
4,val,0.7325374484062195,0.6875,0.6536796536796536,0.6875,0.78125
5,train,0.12193646278815126,0.9528374233128835,0.952709141045893,0.9528374233128835,0.9879802747107357
5,val,1.1756073236465454,0.5625,0.45893719806763283,0.5625,0.78125
6,train,0.09610944154438066,0.9656825153374233,0.9655675909582075,0.9656825153374233,0.9917986096076592
6,val,0.9922253489494324,0.625,0.5636363636363637,0.625,0.796875
7,train,0.09750768957385347,0.9658742331288344,0.9657899570660052,0.9658742331288344,0.9917808087368598
7,val,0.9407540559768677,0.625,0.5636363636363637,0.625,0.828125
8,train,0.08986074199465795,0.9654907975460123,0.9654313695576332,0.9654907975460123,0.9932510644439634
8,val,1.158042073249817,0.625,0.5636363636363637,0.625,0.8125
9,train,0.08855901948787684,0.9668328220858896,0.9667633328746865,0.9668328220858896,0.993098842943398
9,val,0.9323712587356567,0.625,0.5636363636363637,0.625,0.84375
10,train,0.08946990597410345,0.963957055214724,0.9638590183602761,0.963957055214724,0.993249332467345
10,val,1.1973156929016113,0.625,0.5636363636363637,0.625,0.875
